system:index,Humidity,Latitude,Longitude,.geo
86,95.18434898273965,28.283456720503136,77.18774078796989,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.18774078796989,28.283456720503136]}"
87,95.18434898273965,28.283456720503136,77.19672394081108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.19672394081108,28.283456720503136]}"
88,95.18434898273965,28.283456720503136,77.20570709365228,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.20570709365228,28.283456720503136]}"
89,95.18434898273965,28.283456720503136,77.21469024649348,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21469024649348,28.283456720503136]}"
90,95.18434898273965,28.283456720503136,77.22367339933467,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.22367339933467,28.283456720503136]}"
91,95.18434898273965,28.283456720503136,77.23265655217587,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.23265655217587,28.283456720503136]}"
92,95.18434898273965,28.283456720503136,77.24163970501706,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24163970501706,28.283456720503136]}"
93,95.23738561693662,28.283456720503136,77.25062285785826,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.25062285785826,28.283456720503136]}"
94,95.23738561693662,28.283456720503136,77.25960601069944,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.25960601069944,28.283456720503136]}"
95,95.23738561693662,28.283456720503136,77.26858916354064,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.26858916354064,28.283456720503136]}"
96,94.89084374290691,28.292439873344332,76.90926304989284,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.90926304989284,28.292439873344332]}"
97,94.89084374290691,28.292439873344332,76.91824620273403,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.91824620273403,28.292439873344332]}"
98,94.89084374290691,28.292439873344332,76.92722935557522,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.92722935557522,28.292439873344332]}"
99,94.89084374290691,28.292439873344332,76.93621250841642,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.93621250841642,28.292439873344332]}"
100,94.89084374290691,28.292439873344332,76.94519566125761,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94519566125761,28.292439873344332]}"
101,94.98607846447894,28.292439873344332,76.95417881409881,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95417881409881,28.292439873344332]}"
102,94.98607846447894,28.292439873344332,76.96316196694,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.96316196694,28.292439873344332]}"
103,94.98607846447894,28.292439873344332,76.9721451197812,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9721451197812,28.292439873344332]}"
104,94.98607846447894,28.292439873344332,76.9811282726224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9811282726224,28.292439873344332]}"
105,94.98607846447894,28.292439873344332,76.9901114254636,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9901114254636,28.292439873344332]}"
106,94.98607846447894,28.292439873344332,76.99909457830479,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.99909457830479,28.292439873344332]}"
107,94.98607846447894,28.292439873344332,77.00807773114599,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.00807773114599,28.292439873344332]}"
108,94.98607846447894,28.292439873344332,77.01706088398718,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.01706088398718,28.292439873344332]}"
109,94.98607846447894,28.292439873344332,77.02604403682838,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.02604403682838,28.292439873344332]}"
110,94.98607846447894,28.292439873344332,77.03502718966956,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03502718966956,28.292439873344332]}"
111,94.98607846447894,28.292439873344332,77.04401034251076,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04401034251076,28.292439873344332]}"
112,95.09565031769003,28.292439873344332,77.05299349535196,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.05299349535196,28.292439873344332]}"
