system:index,BuildingDensity,Latitude,Longitude,.geo
126,3403,28.637126130750318,77.47099546510387,"{""type"":""Point"",""coordinates"":[77.47099546510387,28.637126130750318]}"
127,0,28.879694026470524,76.97982164159548,"{""type"":""Point"",""coordinates"":[76.97982164159548,28.879694026470524]}"
128,0,28.756427535328758,76.72999157387403,"{""type"":""Point"",""coordinates"":[76.72999157387403,28.756427535328758]}"
129,4585,28.516539233574225,77.27199351016324,"{""type"":""Point"",""coordinates"":[77.27199351016324,28.516539233574225]}"
130,0,28.791899809211092,76.9288055083121,"{""type"":""Point"",""coordinates"":[76.9288055083121,28.791899809211092]}"
131,1272,28.69411461180191,77.53367470832069,"{""type"":""Point"",""coordinates"":[77.53367470832069,28.69411461180191]}"
132,2688,28.393888530981968,77.3197658716916,"{""type"":""Point"",""coordinates"":[77.3197658716916,28.393888530981968]}"
133,7283,28.69040714535077,77.26092019347674,"{""type"":""Point"",""coordinates"":[77.26092019347674,28.69040714535077]}"
134,0,28.748150912364576,77.39814893469088,"{""type"":""Point"",""coordinates"":[77.39814893469088,28.748150912364576]}"
135,994,28.624110647555682,77.33474833217316,"{""type"":""Point"",""coordinates"":[77.33474833217316,28.624110647555682]}"
136,0,28.633216066170057,77.58473551752763,"{""type"":""Point"",""coordinates"":[77.58473551752763,28.633216066170057]}"
137,66,28.79347573431079,76.66467095579803,"{""type"":""Point"",""coordinates"":[76.66467095579803,28.79347573431079]}"
138,385,28.61695839176387,76.7453157917723,"{""type"":""Point"",""coordinates"":[76.7453157917723,28.61695839176387]}"
139,4336,28.707326938780643,77.06776219664567,"{""type"":""Point"",""coordinates"":[77.06776219664567,28.707326938780643]}"
140,0,29.034145769108914,77.31213293325472,"{""type"":""Point"",""coordinates"":[77.31213293325472,29.034145769108914]}"
141,75,28.570373767170103,76.83896436832043,"{""type"":""Point"",""coordinates"":[76.83896436832043,28.570373767170103]}"
142,0,28.736257940956317,77.59657687333707,"{""type"":""Point"",""coordinates"":[77.59657687333707,28.736257940956317]}"
143,0,28.34168199820266,77.11309934370968,"{""type"":""Point"",""coordinates"":[77.11309934370968,28.34168199820266]}"
144,0,28.958949220157635,77.31571007099001,"{""type"":""Point"",""coordinates"":[77.31571007099001,28.958949220157635]}"
145,6405,28.669954373689222,77.43549208676001,"{""type"":""Point"",""coordinates"":[77.43549208676001,28.669954373689222]}"
146,5280,28.42928344955805,77.0488375548284,"{""type"":""Point"",""coordinates"":[77.0488375548284,28.42928344955805]}"
147,2744,28.72313964680507,77.3122805340243,"{""type"":""Point"",""coordinates"":[77.3122805340243,28.72313964680507]}"
148,4658,28.70319131190419,77.0490672762351,"{""type"":""Point"",""coordinates"":[77.0490672762351,28.70319131190419]}"
149,0,28.972823419012567,77.41408395331958,"{""type"":""Point"",""coordinates"":[77.41408395331958,28.972823419012567]}"
150,517,28.63265231022087,77.45066170546403,"{""type"":""Point"",""coordinates"":[77.45066170546403,28.63265231022087]}"
151,0,28.996015916977115,77.11250225679105,"{""type"":""Point"",""coordinates"":[77.11250225679105,28.996015916977115]}"
152,0,28.893860884795153,77.37171815397777,"{""type"":""Point"",""coordinates"":[77.37171815397777,28.893860884795153]}"
153,0,28.738044572511484,77.376748128661,"{""type"":""Point"",""coordinates"":[77.376748128661,28.738044572511484]}"
154,4745,28.685339756555603,77.0334612098982,"{""type"":""Point"",""coordinates"":[77.0334612098982,28.685339756555603]}"
155,3241,28.772173661480092,77.40792451893168,"{""type"":""Point"",""coordinates"":[77.40792451893168,28.772173661480092]}"
156,0,28.360621516250532,77.24366634381704,"{""type"":""Point"",""coordinates"":[77.24366634381704,28.360621516250532]}"
157,0,28.633195595276558,76.84878468660835,"{""type"":""Point"",""coordinates"":[76.84878468660835,28.633195595276558]}"
158,0,28.521995434781036,77.31408212008732,"{""type"":""Point"",""coordinates"":[77.31408212008732,28.521995434781036]}"
159,139,28.758267358031443,76.86833906276863,"{""type"":""Point"",""coordinates"":[76.86833906276863,28.758267358031443]}"
160,0,28.86232898456696,77.03359666660903,"{""type"":""Point"",""coordinates"":[77.03359666660903,28.86232898456696]}"
161,1146,28.54366941270021,77.11949136662346,"{""type"":""Point"",""coordinates"":[77.11949136662346,28.54366941270021]}"
162,1833,28.367034933322408,77.25643516872921,"{""type"":""Point"",""coordinates"":[77.25643516872921,28.367034933322408]}"
163,16,28.608990219851513,77.4984504792355,"{""type"":""Point"",""coordinates"":[77.4984504792355,28.608990219851513]}"
164,279,29.136857540918484,77.06391559128176,"{""type"":""Point"",""coordinates"":[77.06391559128176,29.136857540918484]}"
165,90,28.75736716797994,77.44596023069806,"{""type"":""Point"",""coordinates"":[77.44596023069806,28.75736716797994]}"
166,0,28.43921473006214,77.45439318082245,"{""type"":""Point"",""coordinates"":[77.45439318082245,28.43921473006214]}"
167,5,28.34901637394193,77.21232514730616,"{""type"":""Point"",""coordinates"":[77.21232514730616,28.34901637394193]}"
168,407,28.557206348281156,77.50988145326923,"{""type"":""Point"",""coordinates"":[77.50988145326923,28.557206348281156]}"
169,4780,28.558282138888885,76.99935838878746,"{""type"":""Point"",""coordinates"":[76.99935838878746,28.558282138888885]}"
170,0,28.85839962881931,77.48132574028033,"{""type"":""Point"",""coordinates"":[77.48132574028033,28.85839962881931]}"
171,0,28.713920854063904,76.70517549073672,"{""type"":""Point"",""coordinates"":[76.70517549073672,28.713920854063904]}"
172,3124,28.470797779582142,77.06107747001207,"{""type"":""Point"",""coordinates"":[77.06107747001207,28.470797779582142]}"
173,0,28.66227612295858,76.7930390378376,"{""type"":""Point"",""coordinates"":[76.7930390378376,28.66227612295858]}"
174,0,28.989586129282188,76.86336088394471,"{""type"":""Point"",""coordinates"":[76.86336088394471,28.989586129282188]}"
175,0,29.048138060238788,76.81131052847063,"{""type"":""Point"",""coordinates"":[76.81131052847063,29.048138060238788]}"
176,0,29.12205407146987,76.94870225128119,"{""type"":""Point"",""coordinates"":[76.94870225128119,29.12205407146987]}"
177,0,28.706788052711364,76.95603611711746,"{""type"":""Point"",""coordinates"":[76.95603611711746,28.706788052711364]}"
178,0,28.771535739052222,77.20835234138791,"{""type"":""Point"",""coordinates"":[77.20835234138791,28.771535739052222]}"
179,0,29.04533840217126,76.84123739842259,"{""type"":""Point"",""coordinates"":[76.84123739842259,29.04533840217126]}"
180,0,28.821707947442402,77.00885074815974,"{""type"":""Point"",""coordinates"":[77.00885074815974,28.821707947442402]}"
181,2764,28.79511704133527,77.0701702187601,"{""type"":""Point"",""coordinates"":[77.0701702187601,28.79511704133527]}"
182,0,29.029389461430142,76.92066074231371,"{""type"":""Point"",""coordinates"":[76.92066074231371,29.029389461430142]}"
183,0,28.40043715286802,77.15890434430266,"{""type"":""Point"",""coordinates"":[77.15890434430266,28.40043715286802]}"
184,0,28.741690104169212,77.39519924837916,"{""type"":""Point"",""coordinates"":[77.39519924837916,28.741690104169212]}"
185,0,28.39236514147863,77.18274136475279,"{""type"":""Point"",""coordinates"":[77.18274136475279,28.39236514147863]}"
186,0,28.759208828990584,77.08622321980788,"{""type"":""Point"",""coordinates"":[77.08622321980788,28.759208828990584]}"
187,0,28.348362830556866,76.82182512348564,"{""type"":""Point"",""coordinates"":[76.82182512348564,28.348362830556866]}"
188,0,28.42301637368359,77.46291255068039,"{""type"":""Point"",""coordinates"":[77.46291255068039,28.42301637368359]}"
189,0,29.117432729413654,77.11534568759006,"{""type"":""Point"",""coordinates"":[77.11534568759006,29.117432729413654]}"
190,0,28.714474831581047,77.56866165784326,"{""type"":""Point"",""coordinates"":[77.56866165784326,28.714474831581047]}"
191,6,28.33682048924915,77.22751673852984,"{""type"":""Point"",""coordinates"":[77.22751673852984,28.33682048924915]}"
192,0,28.688094655643827,77.59110100979527,"{""type"":""Point"",""coordinates"":[77.59110100979527,28.688094655643827]}"
193,2462,28.461048410811692,76.99236226264259,"{""type"":""Point"",""coordinates"":[76.99236226264259,28.461048410811692]}"
194,5930,28.726447136489476,77.21840052791401,"{""type"":""Point"",""coordinates"":[77.21840052791401,28.726447136489476]}"
195,0,28.56983812441073,77.10617873211336,"{""type"":""Point"",""coordinates"":[77.10617873211336,28.56983812441073]}"
196,5328,28.394613816469732,77.26370516003385,"{""type"":""Point"",""coordinates"":[77.26370516003385,28.394613816469732]}"
197,0,28.501418366358664,77.51380834588215,"{""type"":""Point"",""coordinates"":[77.51380834588215,28.501418366358664]}"
198,0,28.82590676453516,76.81794538556281,"{""type"":""Point"",""coordinates"":[76.81794538556281,28.82590676453516]}"
199,3629,28.633527916917117,77.16801325819134,"{""type"":""Point"",""coordinates"":[77.16801325819134,28.633527916917117]}"
200,0,28.571611443830278,76.88514596769258,"{""type"":""Point"",""coordinates"":[76.88514596769258,28.571611443830278]}"
201,0,29.02513952428995,77.11588521039994,"{""type"":""Point"",""coordinates"":[77.11588521039994,29.02513952428995]}"
202,3821,29.073093010624238,77.1918199327104,"{""type"":""Point"",""coordinates"":[77.1918199327104,29.073093010624238]}"
203,3174,28.305106627201855,77.30446109232916,"{""type"":""Point"",""coordinates"":[77.30446109232916,28.305106627201855]}"
204,0,28.743140324156965,77.36149448653376,"{""type"":""Point"",""coordinates"":[77.36149448653376,28.743140324156965]}"
205,510,28.803787505141067,77.27409435409814,"{""type"":""Point"",""coordinates"":[77.27409435409814,28.803787505141067]}"
206,110,28.40777420607939,76.97448082806393,"{""type"":""Point"",""coordinates"":[76.97448082806393,28.40777420607939]}"
207,1900,28.752620361398513,77.49307001027599,"{""type"":""Point"",""coordinates"":[77.49307001027599,28.752620361398513]}"
208,0,28.747845824504875,77.60383910028382,"{""type"":""Point"",""coordinates"":[77.60383910028382,28.747845824504875]}"
209,806,29.08234704356775,77.10664803447486,"{""type"":""Point"",""coordinates"":[77.10664803447486,29.08234704356775]}"
210,3886,28.550941347374028,77.5346394364402,"{""type"":""Point"",""coordinates"":[77.5346394364402,28.550941347374028]}"
211,3884,28.687339352844592,77.4920882129909,"{""type"":""Point"",""coordinates"":[77.4920882129909,28.687339352844592]}"
212,0,28.356392069790434,77.00364134227691,"{""type"":""Point"",""coordinates"":[77.00364134227691,28.356392069790434]}"
213,0,28.688060474912355,77.60559439917867,"{""type"":""Point"",""coordinates"":[77.60559439917867,28.688060474912355]}"
214,1265,28.567968040777163,77.31454299904041,"{""type"":""Point"",""coordinates"":[77.31454299904041,28.567968040777163]}"
215,0,28.306631563766143,77.17175033131419,"{""type"":""Point"",""coordinates"":[77.17175033131419,28.306631563766143]}"
216,2651,28.598892838381225,77.26166092430209,"{""type"":""Point"",""coordinates"":[77.26166092430209,28.598892838381225]}"
217,0,28.844474688228217,76.93782462124136,"{""type"":""Point"",""coordinates"":[76.93782462124136,28.844474688228217]}"
218,349,28.84992122264738,77.3192258248056,"{""type"":""Point"",""coordinates"":[77.3192258248056,28.84992122264738]}"
219,2,28.46439328483018,77.45420670074304,"{""type"":""Point"",""coordinates"":[77.45420670074304,28.46439328483018]}"
220,0,28.760666864102166,77.43168825488011,"{""type"":""Point"",""coordinates"":[77.43168825488011,28.760666864102166]}"
221,3416,28.504663158540982,77.52918848164065,"{""type"":""Point"",""coordinates"":[77.52918848164065,28.504663158540982]}"
222,0,28.662219986753236,76.8820077901173,"{""type"":""Point"",""coordinates"":[76.8820077901173,28.662219986753236]}"
223,11,28.6261845707462,77.5280462550884,"{""type"":""Point"",""coordinates"":[77.5280462550884,28.6261845707462]}"
224,24,29.09989633255833,77.11484136762206,"{""type"":""Point"",""coordinates"":[77.11484136762206,29.09989633255833]}"
225,3799,28.630829887677336,77.45290435717727,"{""type"":""Point"",""coordinates"":[77.45290435717727,28.630829887677336]}"
226,0,28.874092918119235,77.30096454301608,"{""type"":""Point"",""coordinates"":[77.30096454301608,28.874092918119235]}"
227,0,28.985450650276494,77.35835333269793,"{""type"":""Point"",""coordinates"":[77.35835333269793,28.985450650276494]}"
228,0,28.883219367528802,76.92465024671488,"{""type"":""Point"",""coordinates"":[76.92465024671488,28.883219367528802]}"
229,0,28.867547025785075,76.76319254338405,"{""type"":""Point"",""coordinates"":[76.76319254338405,28.867547025785075]}"
230,66,29.102172035252863,76.9246510216565,"{""type"":""Point"",""coordinates"":[76.9246510216565,29.102172035252863]}"
231,5211,28.58370588563553,77.3264466807316,"{""type"":""Point"",""coordinates"":[77.3264466807316,28.58370588563553]}"
232,0,28.98050704966681,76.89674806905887,"{""type"":""Point"",""coordinates"":[76.89674806905887,28.98050704966681]}"
233,0,28.691937420313334,76.90023654486765,"{""type"":""Point"",""coordinates"":[76.90023654486765,28.691937420313334]}"
234,3248,28.47241042621401,77.21578827978588,"{""type"":""Point"",""coordinates"":[77.21578827978588,28.47241042621401]}"
235,0,28.76961017427088,77.13639327457453,"{""type"":""Point"",""coordinates"":[77.13639327457453,28.76961017427088]}"
236,2537,28.669889271755114,77.20169417279318,"{""type"":""Point"",""coordinates"":[77.20169417279318,28.669889271755114]}"
237,33,28.565698860680993,76.63409097424021,"{""type"":""Point"",""coordinates"":[76.63409097424021,28.565698860680993]}"
